Rec no.,TA ID,Year of Publication,STA/MTA process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
699,TA427,2016/17,STA,"Pomalidomide, in combination with low‑dose dexamethasone",Pharmaceutical,Multiple myeloma previously treated with lenalidomide and bortezomib,Recommended,Recommended in line with clinical practice and following agreement of a patient access scheme.
700,TA428,2016/17,STA,Pembrolizumab,Pharmaceutical,PD-L1-positive non-small-cell lung cancer after chemotherapy,Optimised,"Optimised recommendation for pempbrolizumab for treating locally advanced or metastatic PD‑L1‑positive non‑small‑cell lung cancer in adults who have had at least one chemotherapy (and targeted treatment if they have an epidermal growth factor receptor [EGFR]- or anaplastic lymphoma kinase [ALK]‑positive tumour), only if:
• pembrolizumab is stopped at 2 years of uninterrupted treatment and no documented disease progression, and
• the company provides pembrolizumab with the discount agreed in the patient access scheme revised in the context of this appraisal."
701,TA429,2016/17,STA,Ibrutinib alone,Pharmaceutical,Previously treated chronic lymphocytic leukaemia and untreated chronic lymphocytic leukaemia with 17p deletion or TP53 mutation,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
702,TA430,2016/17,STA,Sofosbuvir–velpatasvir,Pharmaceutical,Chronic hepatitis C,Optimised,"Optimised recommendation for sofosbuvir–velpatasvir for treating chronic hepatitis C based on HCV genotype, liver disease stage, and only if the company provides the drug with the discount agreed in the simple discount agreement. Please see the final guidance section 1 for the detailed recommendations."
703,TA431,2016/17,STA,Mepolizumab as an add-on to optimised standard therapy,Pharmaceutical,Severe refractory eosinophilic asthma,Optimised,"Optimised recommendation for mepolizumab, as an add-on to optimised standard therapy, for treating severe refractory eosinophilic asthma in adults, only if:
•the blood eosinophil count is 300 cells/microlitre or more in the previous 12 months and
•the person has agreed to and followed the optimised standard treatment plan and
◦has had 4 or more asthma exacerbations needing systemic corticosteroids in the previous 12 months or
◦has had continuous oral corticosteroids of at least the equivalent of prednisolone 5 mg per day over the previous 6 months and
•the company provides the drug with the discount agreed in the patient access scheme."
704,TA432,2016/17,STA,Everolimus,Pharmaceutical,Advanced renal cell carcinoma after previous treatment,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
705,TA433,2016/17,STA,"Apremilast, alone or in combination with disease-modifying antirheumatic drugs (DMARDs)",Pharmaceutical,Active psoriatic arthritis,Optimised,"Optimised recommendation for apremilast alone or in combination with disease-modifying antirheumatic drugs (DMARDs), as an option for treating active psoriatic arthritis in adults only if:
• they have peripheral arthritis with 3 or more tender joints and 3 or more swollen joints and
• their disease has not responded to adequate trials of at least 2 standard DMARDs, given either alone or in combination and
• the company provides apremilast with the discount agreed in the patient access scheme."
706,TA434,2016/17,STA,Elotuzumab,Pharmaceutical,Previously treated multiple myeloma,Terminated Appraisal - non submission,The single technology appraisal process is based on the company’s submission. In the absence of a submission from the company the appraisal was terminated and a recommendation could not be made.
707,TA435,2016/17,STA,Tenofovir alafenamide,Pharmaceutical,Chronic hepatitis B,Terminated Appraisal - non submission,The single technology appraisal process is based on the company’s submission. In the absence of a submission from the company the appraisal was terminated and a recommendation could not be made.
708,TA436,2016/17,STA,Bevacizumab,Pharmaceutical,EGFR mutation-positive non-small-cell lung cancer,Terminated Appraisal - non submission,The single technology appraisal process is based on the company’s submission. In the absence of a submission from the company the appraisal was terminated and a recommendation could not be made.
709,TA437,2016/17,STA,Ibrutinib with bendamustine and rituximab,Pharmaceutical,Relapsed or refractory chronic lymphocytic leukaemia after systemic therapy ,Terminated Appraisal - non submission,The single technology appraisal process is based on the company’s submission. In the absence of a submission from the company the appraisal was terminated and a recommendation could not be made.
710,TA438,2016/17,STA,Alectinib,Pharmaceutical,Previously treated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,Terminated Appraisal - non submission,The single technology appraisal process is based on the company’s submission. In the absence of a submission from the company the appraisal was terminated and a recommendation could not be made.
711,TA439,2016/17,MTA,Cetuximab,Pharmaceutical,Previously untreated metastatic colorectal cancer,Recommended,Recommended in line with marketing authorisation.
712,TA439,2016/17,MTA,Panitumumab,Pharmaceutical,Previously untreated metastatic colorectal cancer,Recommended,Recommended in line with marketing authorisation.
713,TA440,2017/18,STA,Pegylated liposomal irinotecan in combination with 5‑fluorouracil and leucovorin,Pharmaceutical,Pancreatic cancer after gemcitabine,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
714,TA441,2017/18,STA,Daclizumab,Pharmaceutical,Relapsing–remitting multiple sclerosis,Optimised,"This guidance has been withdrawn because Biogen is withdrawing its marketing authorisations for daclizumab.  Optimised recommendation for daclizumab for treating multiple sclerosis in adults, only if:
the person has active relapsing–remitting multiple sclerosis previously treated with disease-modifying therapy, or rapidly evolving severe relapsing–remitting multiple sclerosis (that is, at least 2 relapses in the previous year and at least 1 gadolinium-enhancing lesion at baseline MRI) and

alemtuzumab is contraindicated or otherwise unsuitable and

the company provides the drug with the discount agreed in the patient access scheme"
715,TA442,2017/18,STA,Ixekizumab,Pharmaceutical,Moderate to severe plaque psoriasis,Optimised,"Optimised recommendation for ixekizumab for treating plaque psoriasis in adults, only if:

•the disease is severe, as defined by a total Psoriasis Area and Severity Index (PASI) of 10 or more and a Dermatology Life Quality Index (DLQI) of more than 10

• the disease has not responded to standard systemic therapies, for example, ciclosporin, methotrexate and PUVA (psoralen and long-wave ultraviolet radiation), or these treatments are contraindicated or the person cannot tolerate them, and

• the company provides the drug with the discount agreed in the patient access scheme.
"
716,TA443,2017/18,STA,Obeticholic acid,Pharmaceutical,Primary biliary cholangitis,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
717,TA444,2017/18,STA,Afatinib,Pharmaceutical,Advanced squamous non-small-cell lung cancer after platinum-based chemotherapy,Terminated appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
718,TA445,2017/18,MTA,"Certolizumab pegol alone, or in combination with methotrexate",Pharmaceutical,Psoriatic arthritis after inadequate response to DMARDs,Optimised,"Optimised recommendation for certolizumab pegol alone, or in combination with methotrexate, for treating active psoriatic arthritis in adults only if:
•it is used as described in the NICE technology appraisal guidance on etanercept, infliximab and adalimumab for the treatment of psoriatic arthritis (recommendations 1.1 and 1.2) or

•the person has had a tumour necrosis factor (TNF)-alpha inhibitor but their disease has stopped responding after the first 12 weeks.

Certolizumab pegol is only recommended if the company provides it as agreed in the patient access scheme."
719,TA445,2017/18,MTA,"Secukinumab alone, or in combination with methotrexate",Pharmaceutical,Psoriatic arthritis after inadequate response to DMARDs,Optimised,"Optimised recommendation for secukinumab alone, or in combination with methotrexate, for treating active psoriatic arthritis in adults only if:
•it is used as described in the NICE technology appraisal guidance on etanercept, infliximab and adalimumab for the treatment of psoriatic arthritis (recommendations 1.1 and 1.2) or

•the person has had a TNF‑alpha inhibitor but their disease has not responded within the first 12 weeks or has stopped responding after 12 weeks or

•TNF‑alpha inhibitors are contraindicated but would otherwise be considered (as described in NICE technology appraisal guidance on etanercept, infliximab and adalimumab for the treatment of psoriatic arthritis).

Secukinumab is only recommended if the company provides it as agreed in the patient access scheme."
720,TA446,2017/18,STA,Brentuximab vedotin,Pharmaceutical,CD30-positive Hodgkin lymphoma after autologous stem cell transplant,Optimised,"Optimised recommendation for brentuximab vedotin as an option for treating CD30‑positive Hodgkin lymphoma in adults, only if:
•they have relapsed or refractory disease after autologous stem cell transplant and
•the company provides brentuximab vedotin at the price agreed with NHS England in the commercial access agreement."
721,TA446,2017/18,STA,Brentuximab vedotin,Pharmaceutical,CD30-positive Hodgkin lymphoma after at least 2 prior therapies when autologous stem cell transplant or multi-agent chemotherapy is not a treatment option,Optimised (CDF),"Optimised recommendation for brentuximab vedotin for use within the Cancer Drugs Fund, as an option for treating CD30‑positive Hodgkin lymphoma in adults, only if:

•they have relapsed or refractory disease after at least 2 previous therapies and 

•they cannot have autologous stem cell transplant or multi-agent chemotherapy and

•the conditions of the managed access agreement are followed."
722,TA447,2017/18,STA,Pembrolizumab,Pharmaceutical,Untreated PD-L1-positive metastatic non-small-cell lung cancer,Optimised (CDF),"Optimised recommendation for pembrolizumab for use within the Cancer Drugs Fund as an option for untreated PD-L1-positive metastatic non-small-cell lung cancer (NSCLC) in adults only if:
•their tumours express PD-L1 with at least a 50% tumour proportion score and have no epidermal growth factor receptor (EGFR)- or anaplastic lymphoma kinase (ALK)-positive mutations
•pembrolizumab is stopped at 2 years of uninterrupted treatment and no documented disease progression
•the conditions in the managed access agreement for pembrolizumab are followed"
723,TA448,2017/18,STA,Etelcalcetide,Pharmaceutical,Secondary hyperparathyroidism,Optimised,"Optimised recommendation for etelcalcetide as an option for treating secondary hyperparathyroidism in adults with chronic kidney disease on haemodialysis, only if:

•treatment with a calcimimetic is indicated but cinacalcet is not suitable and

•the company provides etelcalcetide with the discount agreed in the patient access scheme."
724,TA449,2017/18,MTA,Everolimus,Pharmaceutical,Unresectable or metastatic neuroendocrine tumours in people with progressive disease,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
725,TA449,2017/18,MTA,Sunitinib,Pharmaceutical,Unresectable or metastatic neuroendocrine tumours in people with progressive disease,Recommended,Recommended in line with marketing authorisation.
726,TA450,2017/18,STA,Blinatumomab,Pharmaceutical,Previously treated Philadelphia-chromosome-negative acute lymphoblastic leukaemia,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
727,TA451,2017/18,STA,Ponatinib,Pharmaceutical,Chronic myeloid leukaemia and acute lymphoblastic leukaemia,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
728,TA452,2017/18,STA,Ibrutinib,Pharmaceutical,Untreated chronic lymphocytic leukaemia without a 17p deletion or TP53 mutation,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
729,TA453,2017/18,STA,Bortezomib,Pharmaceutical,Multiple myeloma after second or subsequent relapse,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
730,TA454,2017/18,STA,Daratumumab,Pharmaceutical,Relapsed or refractory multiple myeloma,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
731,TA455,2017/18,MTA,Adalimumab,Pharmaceutical,Plaque psoriasis in children and young people,Optimised,"Optimised recommendation for adalimumab as an option for treating plaque psoriasis in children and young people aged 4 years or older, only if the disease:

•is severe, as defined by a total Psoriasis Area and Severity Index (PASI) of 10 or more and
•has not responded to standard systemic therapy, such as ciclosporin, methotrexate or phototherapy, or these options are contraindicated or not tolerated.
"
732,TA455,2017/18,MTA,Etanercept,Pharmaceutical,Plaque psoriasis in children and young people,Optimised,"Optimised recommendation for etanercept as an option for treating plaque psoriasis in children and young people aged 6 years or older, only if the disease:

•is severe, as defined by a total PASI of 10 or more and

•has not responded to standard systemic therapy, such as ciclosporin, methotrexate or phototherapy, or these options are contraindicated or not tolerated"
733,TA455,2017/18,MTA,Ustekinumab,Pharmaceutical,Plaque psoriasis in children and young people,Optimised,"Optimised recommendation for ustekinumab as an option for treating plaque psoriasis in children and young people aged 12 years or older, only if the disease:

•is severe, as defined by a total PASI of 10 or more

•has not responded to standard systemic therapy, such as ciclosporin, methotrexate or phototherapy, or these options are contraindicated or not tolerated"
734,TA456,2017/18,STA,Ustekinumab,Pharmaceutical,Moderately to severely active Crohn’s disease after previous treatment,Recommended,Recommended in line with marketing authorisation.
735,TA457,2017/18,STA,Carfilzomib in combination with dexamethasone,Pharmaceutical,Previously treated multiple myeloma,Optimised,"Optmised recommendation for carfilzomib in combination with dexamethasone as an option for treating multiple myeloma in adults, only if: 

•they have had only 1 previous therapy, which did not include bortezomib and
•the company provides carfilzomib with the discount agreed in the patient access scheme
"
736,TA458,2017/18,STA,Trastuzumab emtansine,Pharmaceutical,HER2-positive advanced breast cancer after trastuzumab and a taxane,Recommended,Recommended in line with marketing authorisation and following agreement of a commercial access agreement.
737,TA459,2017/18,STA,Collagenase clostridium histolyticum,Pharmaceutical,Dupuytren's contracture,Optimised,"People who meet the inclusion criteria for the ongoing clinical trial (HTA-15/102/04), comparing collagenase clostridium histolyticum (CCH) with limited fasciectomy, are encouraged to participate in the study.

For people not taking part in the ongoing clinical trial, optimised recommendation for CCH for treating Dupuytren's contracture with a palpable cord in adults only if all of the following apply:

•There is evidence of moderate disease (functional problems and metacarpophalangeal joint contracture of 30° to 60° and proximal interphalangeal joint contracture of less than 30° or first web contracture) plus up to 2 affected joints.

•Percutaneous needle fasciotomy (PNF) is not considered appropriate, but limited fasciectomy is considered appropriate by the treating hand surgeon.

•The choice of treatment (CCH or limited fasciectomy) is made on an individual basis after discussion between the responsible hand surgeon and the patient about the risks and benefits of the treatments available. 

•One injection is given per treatment session by a hand surgeon in an outpatient setting.
"
738,TA460,2017/18,MTA,Adalimumab,Pharmaceutical,Non-infectious uveitis,Optimised,"Optimised recommendation for dexamethasone intravitreal implant as an option for treating non-infectious uveitis in the posterior segment of the eye in adults, only if there is

•active disease (that is, current inflammation in the eye) and
•worsening vision with a risk of blindness.
"
739,TA460,2017/18,MTA,Dexamethasone intravitreal implant ,Pharmaceutical,Non-infectious uveitis,Optimised,"Optimised recommendation for dexamethasone intravitreal implant as an option for treating non-infectious uveitis in the posterior segment of the eye in adults, only if there is
•active disease (that is, current inflammation in the eye) and
•worsening vision with a risk of blindness."
740,TA461,2017/18,STA,Roflumilast as an add-on to bronchodilator therapy,Pharmaceutical,Chronic obstructive pulmonary disease,Optimised,"Optimised recommendation for Roflumilast as an add-on to bronchodilator therapy as an option for treating severe chronic obstructive pulmonary disease in adults with chronic bronchitis, only if:

•the disease is severe, defined as a forced expiratory volume in 1 second (FEV1) after a bronchodilator of less than 50% of predicted normal, and
•the person has had 2 or more exacerbations in the previous 12 months despite triple inhaled therapy with a long-acting muscarinic antagonist, a long-acting beta-2 agonist and an inhaled corticosteroid.
"
741,TA462,2017/18,STA,Nivolumab ,Pharmaceutical,Relapsed or refractory classical Hodgkin lymphoma,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
742,TA463,2017/18,STA,Cabozantinib,Pharmaceutical,Previously treated advanced renal cell carcinoma,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
743,TA464,2017/18,MTA," Oral bisphosphonates (alendronic acid, ibandronic acid and risedronate sodium)",Pharmaceutical,Osteoporosis,Optimised,"Optimised recommendation for  oral bisphosphonates (alendronic acid, ibandronic acid and risedronate sodium) as options for treating osteoporosis in adults only if:
•the person is eligible for risk assessment as defined in NICE's guideline on osteoporosis (recommendations 1.1 and 1.2) and
•the 10‑year probability of osteoporotic fragility fracture is at least 1%.

"
744,TA464,2017/18,MTA,Intravenous bisphosphonates (ibandronic acid and zoledronic acid),Pharmaceutical,Osteoporosis,Optimised,"Optimised recommendation for Intravenous bisphosphonates (ibandronic acid and zoledronic acid) as options for treating osteoporosis in adults only if:
•the person is eligible for risk assessment as defined in NICE's guideline on osteoporosis (recommendations 1.1 and 1.2) and
•the 10‑year probability of osteoporotic fragility fracture is at least 10% or
•the 10‑year probability of osteoporotic fragility fracture is at least 1% and the person has difficulty taking oral bisphosphonates (alendronic acid, ibandronic acid or risedronate sodium) or these drugs are contraindicated or not tolerated.

"
745,TA465,2017/18,STA,Olaratumab in combination with doxorubicin ,Pharmaceutical,Advanced soft tissue sarcoma,Recommended (CDF),"Recommended for use within the Cancer Drugs Fund as an option for advanced soft tissue sarcoma in adults, only if:

•they have not had any previous systemic chemotherapy for advanced soft tissue sarcoma

•they cannot have curative treatment with surgery or their disease does not respond to radiotherapy

•the conditions in the managed access agreement for olaratumab are followed

"
746,TA466,2017/18,STA,Baricitinib with methotrexate,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,"Optimised recommendation for baricitinib, with methotrexate, as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to intensive therapy with a combination of conventional disease-modifying antirheumatic drugs (DMARDs), only if:
•disease is severe (a disease activity score [DAS28] of more than 5.1) and
•the company provides baricitinib with the discount agreed in the patient access scheme."
747,TA466,2017/18,STA,Baricitinib with methotrexate,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,"Optimised recommendation for baricitinib, with methotrexate,  as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to or who cannot have other DMARDs, including at least 1 biological DMARD, only if:
•disease is severe (a DAS28 of more than 5.1) and
•they cannot have rituximab and
•the company provides baricitinib with the discount agreed in the patient access scheme

"
748,TA466,2017/18,STA,Baricitinib monotherapy,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,Optimised recommendation for baricitinib  as monotherapy for people who cannot take methotrexate because it is contraindicated or because of intolerance when the criteria for combination treatment described in section 1.1 and 1.2 are met.
749,TA467,2017/18,STA,Holoclar (ex vivo expanded autologous human corneal epithelial cells containing stem cells),Pharmaceutical,Limbal stem cell deficiency after eye burns,Optimised,"Optimised recommendation for holoclar as an option in people with moderate to severe limbal stem cell deficiency after eye burns, only if:
•it is only used to treat 1 eye and
•people have already had a conjunctival limbal autograft or
•there is not enough tissue for a conjunctival limbal autograft or it is contraindicated and
•the company provides it with the discount agreed in the patient access scheme.

"
750,TA467,2017/18,STA,Holoclar (ex vivo expanded autologous human corneal epithelial cells containing stem cells),Pharmaceutical,Limbal stem cell deficiency after eye burns for treating both eyes  ,Only in Research,"Only in research recommendation for holoclar  in people with moderate to severe limbal stem cell deficiency after eye burns for treating both eyes, only when there is not enough tissue for a conjunctival limbal autograft.

"
751,TA468,2017/18,STA,Methylnaltrexone bromide,Pharmaceutical,Opioid-induced constipation,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
752,TA469,2017/18,STA,Idelalisib with ofatumumab,Pharmaceutical,Chronic lymphocytic leukaemia ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
753,TA470,2017/18,STA,Ofatumumab with chemotherapy ,Pharmaceutical,Chronic lymphocytic leukaemia ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
754,TA471,2017/18,STA,Eluxadoline,Pharmaceutical,Irritable bowel syndrome with diarrhoea,Recommended,Recommended in line with clinical practice.
755,TA472,2017/18,STA,Obinutuzumab with bendamustine,Pharmaceutical,Follicular lymphoma refractory to rituximab,Recommended (CDF),"Recommended for use within the Cancer Drugs Fund as an option for treating adults with follicular lymphoma that did not respond or progressed during or up to 6 months after treatment with rituximab or a rituximab-containing regimen, only if the conditions in the managed access agreement for obinutuzumab are followed."
756,TA473,2017/18,STA,Cetuximab in combination with platinum-based chemotherapy ,Pharmaceutical,Recurrent or metastatic squamous cell cancer of the head and neck,Optimised,"Optimised recommendation for cetuximab in combination with platinum-based chemotherapy as an option for treating recurrent or metastatic squamous cell cancer of the head and neck in adults only:
•if the cancer started in the oral cavity and
•when the company provides the drug in line with the commercial access agreement with NHS England.

"
757,TA474,2017/18,STA,Sorafenib,Pharmaceutical,Advanced hepatocellular carcinoma,Optimised,"Optmised recommendation for sorafenib only for people with Child-Pugh grade A liver impairment, only if the company provides sorafenib within the agreed commercial access arrangement."
758,TA475,2017/18,STA,Dimethyl fumarate ,Medical device,Moderate to severe plaque psoriasis,Optimised,"Optimised recommendation for dimethyl fumarate only if the disease:
•is severe, as defined by a total Psoriasis Area and Severity Index (PASI) of 10 or more and a Dermatology Life Quality Index (DLQI) of more than 10 and
•has not responded to other systemic therapies, including, ciclosporin, methotrexate and PUVA (psoralen and long-wave ultraviolet A radiation), or these options are contraindicated or not tolerated.

"
759,TA476,2017/18,STA,Paclitaxel as albumin-bound nanoparticles (nab‑paclitaxel) with gemcitabine ,Pharmaceutical,Untreated metastatic pancreatic cancer,Optimised,"Optimised recommendation for nab‑paclitaxel with gemcitabine only if:

•other combination chemotherapies are unsuitable and they would otherwise have gemcitabine monotherapy and

•the company provides nab‑paclitaxel with the discount agreed in the patient access scheme.

"
760,TA477,2017/18,MTA,Autologous chondrocyte implantation,Pharmaceutical,Symptomatic articular cartilage defects of the knee,Optimised,"Optimised recommendation for autologous chondrocyte implantation (ACI) as an option for treating symptomatic articular cartilage defects of the knee, only if:

•the person has not had previous surgery to repair articular cartilage defects 
•there is minimal osteoarthritic damage to the knee (as assessed by clinicians experienced in investigating knee cartilage damage using a validated measure for knee osteoarthritis)
•the defect is over 2 cm2 and
•the procedure is done at a tertiary referral centre.

"
761,TA478,2017/18,STA,Brentuximab vedotin ,Pharmaceutical,Relapsed or refractory systemic anaplastic large cell lymphoma,Optimised,"Optimised recommendation for brentuximab vedotin as an option for treating relapsed or refractory systemic anaplastic large cell lymphoma in adults, only if:
•they have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1 and
•the company provides brentuximab vedotin according to the commercial access agreement with NHS England."
762,TA479,2017/18,STA,"Reslizumab, as an add-on therapy",Pharmaceutical,Severe eosinophilic asthma,Optimised,"Optimised recommendation for reslizumab, as an add-on therapy, as an option for the treatment of severe eosinophilic asthma that is inadequately controlled in adults despite maintenance therapy with high-dose inhaled corticosteroids plus another drug, only if:

•the blood eosinophil count has been recorded as 400 cells per microlitre or more
•the person has had 3 or more severe asthma exacerbations needing systemic corticosteroids in the past 12 months and
•the company provides reslizumab with the discount agreed in the patient access scheme."
763,TA480,2017/18,STA,Tofacitinib with methotrexate,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,"Optimised recommendation for tofacitinib, with methotrexate, as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to intensive therapy with a combination of conventional disease-modifying antirheumatic drugs (DMARDs), only if:
• disease is severe (a disease activity score [DAS28] of more than 5.1) and
• the company provides tofacitinib with the discount agreed in the patient access scheme.
"
764,TA480,2017/18,STA,Tofacitinib with methotrexate,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,"Optimised recommendation for tofacitinib, with methotrexate, as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to, or who cannot have, other DMARDs, including at least 1 biological DMARD, only if:
• disease is severe (a DAS28 of more than 5.1) and
• they cannot have rituximab and
• the company provides tofacitinib with the discount agreed in the patient access scheme.
"
765,TA480,2017/18,STA,Tofacitinib monotherapy,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,"Optimised recommendation for tofacitinib as monotherapy for adults who cannot take methotrexate because it is contraindicated or because of intolerance, when the criteria in sections 1.1 and 1.2 are met."
766,TA481,2017/18,MTA,Basiliximab,Pharmaceutical,Kidney transplant in adults,Recommended,Recommended in line with clinical practice
767,TA481,2017/18,MTA,Immediate-release tacrolimus,Pharmaceutical,Kidney transplant in adults,Recommended,Recommended in line with clinical practice.
768,TA481,2017/18,MTA,Mycophenolate mofetil,Pharmaceutical,Kidney transplant in adults,Recommended,Recommended in line with marketing authorisation.
769,TA481,2017/18,MTA,Rabbit anti-human thymocyte immunoglobulin,Pharmaceutical,Kidney transplant in adults,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
770,TA481,2017/18,MTA,Prolonged-release tacrolimus,Pharmaceutical,Kidney transplant in adults,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
771,TA481,2017/18,MTA,Mycophenolate sodium,Pharmaceutical,Kidney transplant in adults,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
772,TA481,2017/18,MTA,Sirolimus,Pharmaceutical,Kidney transplant in adults,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
773,TA481,2017/18,MTA,Everolimus ,Pharmaceutical,Kidney transplant in adults,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
774,TA481,2017/18,MTA,Belatacept,Pharmaceutical,Kidney transplant in adults,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
775,TA482,2017/18,MTA,Basiliximab,Pharmaceutical,Kidney transplant in children and young people,Recommended,Recommended in line with clinical practice
776,TA482,2017/18,MTA,Immediate-release tacrolimus,Pharmaceutical,Kidney transplant in children and young people,Recommended,Recommended in line with clinical practice.
777,TA482,2017/18,MTA,Mycophenolate mofetil,Pharmaceutical,Kidney transplant in children and young people,Recommended,Recommended in line with marketing authorisation.
778,TA482,2017/18,MTA,Rabbit anti-human thymocyte immunoglobulin,Pharmaceutical,Kidney transplant in children and young people,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
779,TA482,2017/18,MTA,Prolonged-release tacrolimus,Pharmaceutical,Kidney transplant in children and young people,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
780,TA482,2017/18,MTA,Mycophenolate sodium,Pharmaceutical,Kidney transplant in children and young people,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
781,TA482,2017/18,MTA,Sirolimus,Pharmaceutical,Kidney transplant in children and young people,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
782,TA482,2017/18,MTA,Everolimus ,Pharmaceutical,Kidney transplant in children and young people,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
783,TA482,2017/18,MTA,Belatacept,Pharmaceutical,Kidney transplant in children and young people,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
784,TA483,2017/18,STA,Nivolumab ,Pharmaceutical,Previously treated squamous non-small-cell lung cancer,Recommended (CDF),"Recommended for use within the Cancer Drugs Fund as an option for treating locally advanced or metastatic squamous non-small-cell lung cancer in adults after chemotherapy, only if:
•nivolumab is stopped at 2 years of uninterrupted treatment, or earlier in the event of disease progression, and
•the conditions in the managed access agreement are followed.
"
785,TA484,2017/18,STA,Nivolumab ,Pharmaceutical,Previously treated non-squamous non-small-cell lung cancer,Recommended (CDF),"Recommended for use within the Cancer Drugs Fund as an option for treating locally advanced or metastatic non-squamous non-small-cell lung cancer in adults after chemotherapy, only if:
•their tumours are PD‑L1 positive and
•nivolumab is stopped at 2 years of uninterrupted treatment, or earlier in the event of disease progression, and
•the conditions in the managed access agreement are followed."
786,TA485,2017/18,STA,Sarilumab with methotrexate,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,"Optimised recommendation for sarilumab, with methotrexate, as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to intensive therapy with a combination of conventional disease-modifying antirheumatic drugs (DMARDs), only if:
•disease is severe (a disease activity score [DAS28] of more than 5.1) and
•the company provides sarilumab with the discount agreed in the patient access scheme.
"
787,TA485,2017/18,STA,Sarilumab with methotrexate,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,"Optimised recommendation for sarilumab, with methotrexate, as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to or who cannot have other DMARDs, including at least 1 biological DMARD, only if:
•disease is severe (a DAS28 of more than 5.1) and
•they cannot have rituximab and
•the company provides sarilumab with the discount agreed in the patient access scheme."
788,TA485,2017/18,STA,Sarilumab with methotrexate,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,"Optimised recommendation for sarilumab, with methotrexate, as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to rituximab and at least 1 biological DMARD, only if:
•disease is severe (a DAS28 of more than 5.1) and
•the company provides sarilumab with the discount agreed in the patient access scheme."
